City,Zip Code,County,Median Income,Cost Of Living Index ($),Median Mortgage To Income Ratio (%),Owner Occupied Homes (%),Median Rooms In Home,College Degree (%),Professional (%),Population,Average Household Size,Median Age,Male To Female Ratio (%),Married (%),Divorced (%),White (%),Black (%),Asian (%),Hispanic Ethnicity (%)
Lawnside,8045,Camden,"44,926",110.1,23.3,72.6,6.5,18.4,30.7,"2,717",2.6,42.4,77.7,41.4,9.2,2.2,90.2,2.8,3.2
Magnolia,8049,Camden,"46,250",104.0,24.6,80.2,5.7,13.2,26.1,"5,265",2.5,36.5,86.4,55.5,8.7,78.6,14.3,1.0,3.8
Mount Ephraim,8059,Camden,"44,973",105.0,23.7,82.1,5.7,13.3,30.5,"5,432",2.4,39.7,91.3,54.6,9.0,95.3,0.3,1.8,1.5
Runnemede,8078,Camden,"40,811",107.6,23.1,69.4,5.7,12.6,25.6,"8,381",2.5,37.7,86.3,51.1,11.4,90.0,4.0,1.3,3.6
Sicklerville,8081,Camden,"61,366",129.0,24.3,87.2,6.6,22.9,35.0,"42,876",3.0,32.3,89.2,63.4,7.4,66.4,25.5,2.0,3.3
Somerdale,8083,Camden,"51,613",122.7,22.3,73.5,6.4,20.9,33.4,"9,795",2.6,38.5,93.4,56.3,9.7,79.8,12.4,3.4,3.2
Stratford,8084,Camden,"50,977",125.2,24.8,72.8,6.5,19.9,36.5,"7,271",2.6,37.7,84.0,58.4,7.7,86.1,5.1,3.0,3.5
Waterford Works,8089,Camden,"52,310",123.1,23.9,91.9,6.3,11.9,27.9,"3,877",3.0,39.1,93.7,58.3,5.2,70.1,22.9,0.2,5.9
West Berlin,8091,Camden,"54,708",120.9,22.1,77.8,6.2,15.1,27.2,"5,274",2.8,35.8,91.5,57.9,8.9,79.4,11.6,2.4,4.7
Winslow,8095,Camden,,,,,,,,,,,,,,,,,
Bellmawr,8099,Camden,,,,,,,,,,,,,,,,,
Camden,8101,Camden,,,,,,,,,,,,,,,,,
Camden,8102,Camden,"16,573",35.0,20.5,31.9,4.7,6.2,25.5,"10,210",3.9,28.9,143.2,41.2,7.0,8.0,38.0,0.9,52.2
Camden,8103,Camden,"23,139",40.5,24.4,50.5,5.7,5.6,18.5,"15,030",3.3,30.0,86.5,33.1,9.8,4.2,67.6,0.0,25.9
Camden,8104,Camden,"23,878",45.8,25.5,47.8,5.2,5.2,15.9,"24,794",3.0,26.5,72.8,32.5,10.1,10.7,62.3,1.6,22.6
Haddon Township,8104,Camden,"23,878",45.8,25.5,47.8,5.2,5.2,15.9,"24,794",3.0,26.5,72.8,32.5,10.1,10.7,62.3,1.6,22.6
Camden,8105,Camden,"27,485",51.6,22.9,47.9,4.7,5.0,15.4,"30,833",3.3,26.2,83.9,40.6,8.7,6.6,35.0,5.3,51.8
Audubon,8106,Camden,"47,220",117.5,22.3,67.7,5.9,22.5,33.2,"10,284",2.4,38.5,82.5,54.8,9.1,97.1,0.2,1.0,1.5
Haddon Township,8107,Camden,"41,019",104.4,23.2,59.6,5.5,20.8,33.4,"13,559",2.4,36.1,86.9,47.2,10.5,76.6,8.3,5.2,7.7
Oaklyn,8107,Camden,"41,019",104.4,23.2,59.6,5.5,20.8,33.4,"13,559",2.4,36.1,86.9,47.2,10.5,76.6,8.3,5.2,7.7
Collingswood,8108,Camden,"49,530",124.9,22.5,65.8,6.0,32.0,43.7,"18,449",2.3,39.1,80.3,51.6,9.4,91.1,2.2,2.0,3.2
Haddon Township,8108,Camden,"49,530",124.9,22.5,65.8,6.0,32.0,43.7,"18,449",2.3,39.1,80.3,51.6,9.4,91.1,2.2,2.0,3.2
Merchantville,8109,Camden,"49,289",120.0,23.6,75.7,6.3,20.3,32.4,"22,720",2.6,38.9,84.4,56.9,7.9,74.7,14.1,2.9,6.9
Pennsauken,8110,Camden,"44,443",93.7,24.9,81.5,6.1,10.9,23.3,"15,920",3.1,32.5,88.3,50.4,7.7,37.8,29.3,6.8,22.2
